Time,H,SAL
01/05/2011 00:00:00,-0.011255,10.075967
01/05/2011 01:00:00,0.027915,10.240400
01/05/2011 02:00:00,-0.083090,10.123928
01/05/2011 03:00:00,-0.089990,10.184866
01/05/2011 04:00:00,-0.111129,10.240615
01/05/2011 05:00:00,-0.078251,10.414491
01/05/2011 06:00:00,-0.020945,10.053453
01/05/2011 07:00:00,0.040061,10.920012
01/05/2011 08:00:00,0.112755,11.084464
01/05/2011 09:00:00,0.152564,10.896120
01/05/2011 10:00:00,0.155085,11.351215
01/05/2011 11:00:00,0.152434,11.538829
01/05/2011 12:00:00,0.099184,12.252863
01/05/2011 13:00:00,0.035497,11.620343
01/05/2011 14:00:00,-0.018198,11.430314
01/05/2011 15:00:00,-0.063505,12.217783
01/05/2011 16:00:00,-0.078249,12.008838
01/05/2011 17:00:00,-0.067346,12.120821
01/05/2011 18:00:00,-0.019944,12.771842
01/05/2011 19:00:00,0.049841,12.967856
01/05/2011 20:00:00,0.116428,13.305726
01/05/2011 21:00:00,0.154062,14.698820
01/05/2011 22:00:00,0.186717,15.109143
01/05/2011 23:00:00,0.168028,14.462856
02/05/2011 00:00:00,0.114990,13.379917
02/05/2011 01:00:00,0.048869,13.397337
02/05/2011 02:00:00,-0.018358,13.558875
02/05/2011 03:00:00,-0.073292,14.219235
02/05/2011 04:00:00,-0.110948,13.250013
02/05/2011 05:00:00,-0.107095,13.466743
02/05/2011 06:00:00,-0.078988,13.974808
02/05/2011 07:00:00,-0.017795,15.142562
02/05/2011 08:00:00,0.053003,15.648740
02/05/2011 09:00:00,0.115514,15.667679
02/05/2011 10:00:00,0.157258,15.694937
02/05/2011 11:00:00,0.181563,16.088843
02/05/2011 12:00:00,0.156085,15.510784
02/05/2011 13:00:00,0.098633,15.687226
02/05/2011 14:00:00,0.039798,14.758411
02/05/2011 15:00:00,-0.012505,15.618504
02/05/2011 16:00:00,-0.047330,15.079368
02/05/2011 17:00:00,-0.062493,15.558457
02/05/2011 18:00:00,-0.046079,16.336952
02/05/2011 19:00:00,0.003051,17.090685
02/05/2011 20:00:00,0.066410,16.436063
02/05/2011 21:00:00,0.132237,18.106219
02/05/2011 22:00:00,0.175874,18.167437
02/05/2011 23:00:00,0.188412,17.687464
03/05/2011 00:00:00,0.162639,17.243592
03/05/2011 01:00:00,0.108392,16.853080
03/05/2011 02:00:00,0.034761,16.395231
